handle,y,submitted
Ghost_141,640.0000,0
shubhendus,993.3333,0
diptee,0.0000,0
penpo,0.0000,0
Rafael.Prado,0.0000,0
sunbinbrother,0.0000,0
dira.thea,0.0000,0
"Neha jain",333.0000,0
sangherajagjit,0.0000,0
AncientNix,0.0000,0
smk1992,0.0000,1
sydderanged,0.0000,0
savon_cn,1036.2000,1
superastrom,447.0000,0
