challenge_id,challenge_name,status,prize,days_length,reg_start,reg_end,reg_date,no_of_reg
30046781,"Web Arena - Update Social Feature UI",Completed,100,31,2014-10-28,2014-11-27,2014-10-29,2
30046888,"Web Arena - Practice Problem Loading Issue",Completed,200,31,2014-10-31,2014-11-30,2014-10-31,5
30047136,"Web Arena - Remove Type Column for Practice Problem Listing Page",Completed,100,31,2014-11-10,2014-12-10,2014-11-10,3
30047136,"Web Arena - Remove Type Column for Practice Problem Listing Page",Completed,100,31,2014-11-10,2014-12-10,2014-11-11,2
30047174,"Web Arena - Update Nav Icons",Completed,50,31,2014-11-11,2014-12-11,2014-11-11,3
30047174,"Web Arena - Update Nav Icons",Completed,50,31,2014-11-11,2014-12-11,2014-11-12,2
30047205,"Web Arena UI - Update Practice Problem Coding Page to show Match Editorial Link",Completed,60,31,2015-01-05,2015-02-04,2015-01-05,6
30047205,"Web Arena UI - Update Practice Problem Coding Page to show Match Editorial Link",Completed,60,31,2015-01-05,2015-02-04,2015-01-06,1
30047212,"TC API - Create SRM Contest Round API Update",Completed,50,31,2014-12-24,2015-01-23,2014-12-25,3
30047212,"TC API - Create SRM Contest Round API Update",Completed,50,31,2014-12-24,2015-01-23,2014-12-26,3
30047401,"Web Arena New Relic Monitoring",Completed,200,31,2014-11-24,2014-12-24,2014-11-24,3
30047401,"Web Arena New Relic Monitoring",Completed,200,31,2014-11-24,2014-12-24,2014-11-25,5
30047401,"Web Arena New Relic Monitoring",Completed,200,31,2014-11-24,2014-12-24,2014-11-26,2
30047401,"Web Arena New Relic Monitoring",Completed,200,31,2014-11-24,2014-12-24,2014-11-27,1
30047401,"Web Arena New Relic Monitoring",Completed,200,31,2014-11-24,2014-12-24,2014-11-28,1
30047401,"Web Arena New Relic Monitoring",Completed,200,31,2014-11-24,2014-12-24,2014-11-30,3
30047401,"Web Arena New Relic Monitoring",Completed,200,31,2014-11-24,2014-12-24,2014-12-02,2
30047630,"Web Arena Fix - Problem Statement area sometimes gets empty when the area is expand or collapsed","Cancelled - Requirem",200,31,2014-12-05,2015-01-04,2014-12-05,3
30047630,"Web Arena Fix - Problem Statement area sometimes gets empty when the area is expand or collapsed","Cancelled - Requirem",200,31,2014-12-05,2015-01-04,2014-12-07,4
30047630,"Web Arena Fix - Problem Statement area sometimes gets empty when the area is expand or collapsed","Cancelled - Requirem",200,31,2014-12-05,2015-01-04,2014-12-13,1
30047630,"Web Arena Fix - Problem Statement area sometimes gets empty when the area is expand or collapsed","Cancelled - Requirem",200,31,2014-12-05,2015-01-04,2014-12-19,1
30047630,"Web Arena Fix - Problem Statement area sometimes gets empty when the area is expand or collapsed","Cancelled - Requirem",200,31,2014-12-05,2015-01-04,2014-12-24,1
30047630,"Web Arena Fix - Problem Statement area sometimes gets empty when the area is expand or collapsed","Cancelled - Requirem",200,31,2014-12-05,2015-01-04,2014-12-29,1
30047632,"TopCoder Competition Engine - Add Editorial Link For Matches",Completed,150,31,2015-01-05,2015-02-04,2015-01-05,8
30047632,"TopCoder Competition Engine - Add Editorial Link For Matches",Completed,150,31,2015-01-05,2015-02-04,2015-01-06,1
30047633,"Web Arena UI  - Add Settings Panel for Chat Widget",Completed,200,31,2014-12-05,2015-01-04,2014-12-05,6
30047633,"Web Arena UI  - Add Settings Panel for Chat Widget",Completed,200,31,2014-12-05,2015-01-04,2014-12-07,2
30047633,"Web Arena UI  - Add Settings Panel for Chat Widget",Completed,200,31,2014-12-05,2015-01-04,2014-12-08,2
30047633,"Web Arena UI  - Add Settings Panel for Chat Widget",Completed,200,31,2014-12-05,2015-01-04,2014-12-10,1
30047851,"Web Arena - Bug Fix I-131627",Completed,75,31,2014-12-08,2015-01-07,2014-12-09,3
30047851,"Web Arena - Bug Fix I-131627",Completed,75,31,2014-12-08,2015-01-07,2014-12-13,3
30047852,"Web Arena - Bug Fix I-135674","Cancelled - Client R",75,31,2014-12-08,2015-01-07,2014-12-09,2
30047852,"Web Arena - Bug Fix I-135674","Cancelled - Client R",75,31,2014-12-08,2015-01-07,2014-12-13,1
30047852,"Web Arena - Bug Fix I-135674","Cancelled - Client R",75,31,2014-12-08,2015-01-07,2014-12-19,1
30047852,"Web Arena - Bug Fix I-135674","Cancelled - Client R",75,31,2014-12-08,2015-01-07,2014-12-23,1
30047853,"Web Arena - Bug Fix I-141699","Cancelled - Client R",50,31,2014-12-08,2015-01-07,2014-12-09,4
30047853,"Web Arena - Bug Fix I-141699","Cancelled - Client R",50,31,2014-12-08,2015-01-07,2014-12-11,1
30047884,"Web Arena Fix - Fix Time Format in Match Schedule Calendar",Completed,100,31,2014-12-10,2015-01-09,2014-12-10,4
30047885,"Web Arena Fix - Enter Proper Room From Room Assignment Pop up",Completed,100,31,2014-12-10,2015-01-09,2014-12-10,4
30047885,"Web Arena Fix - Enter Proper Room From Room Assignment Pop up",Completed,100,31,2014-12-10,2015-01-09,2014-12-13,2
30047904,"Web Arena - Bug Fix I-140110",Completed,75,31,2014-12-10,2015-01-09,2014-12-10,1
30047904,"Web Arena - Bug Fix I-140110",Completed,75,31,2014-12-10,2015-01-09,2014-12-11,1
30047904,"Web Arena - Bug Fix I-140110",Completed,75,31,2014-12-10,2015-01-09,2014-12-13,1
30047909,"Web Arena Fix - Fix Scroll Problem for Rating Key and registrants panels in Chat Widget",Completed,100,31,2014-12-11,2015-01-10,2014-12-11,3
30047913,"TopCoder Competition Engine Fix - Fix Registration Problem if SRM has Long Personal Question without Answer configured",Completed,100,31,2014-12-11,2015-01-10,2014-12-11,2
30047913,"TopCoder Competition Engine Fix - Fix Registration Problem if SRM has Long Personal Question without Answer configured",Completed,100,31,2014-12-11,2015-01-10,2014-12-19,1
30047913,"TopCoder Competition Engine Fix - Fix Registration Problem if SRM has Long Personal Question without Answer configured",Completed,100,31,2014-12-11,2015-01-10,2014-12-23,1
30047913,"TopCoder Competition Engine Fix - Fix Registration Problem if SRM has Long Personal Question without Answer configured",Completed,100,31,2014-12-11,2015-01-10,2014-12-24,1
30047964,"Web Arena - Bug Fix I-142561",Completed,75,31,2014-12-12,2015-01-11,2014-12-12,1
30047964,"Web Arena - Bug Fix I-142561",Completed,75,31,2014-12-12,2015-01-11,2014-12-13,4
30047964,"Web Arena - Bug Fix I-142561",Completed,75,31,2014-12-12,2015-01-11,2014-12-14,2
30047965,"Web Arena - Bug Fix I-142562",Completed,75,31,2014-12-12,2015-01-11,2014-12-12,2
30047965,"Web Arena - Bug Fix I-142562",Completed,75,31,2014-12-12,2015-01-11,2014-12-13,2
30047965,"Web Arena - Bug Fix I-142562",Completed,75,31,2014-12-12,2015-01-11,2014-12-14,1
30048007,"Web Arena - Missing Add Test Case Button for Practice and SRM Problems",Completed,50,31,2014-12-13,2015-01-12,2014-12-14,4
30048007,"Web Arena - Missing Add Test Case Button for Practice and SRM Problems",Completed,50,31,2014-12-13,2015-01-12,2014-12-15,1
30048007,"Web Arena - Missing Add Test Case Button for Practice and SRM Problems",Completed,50,31,2014-12-13,2015-01-12,2014-12-18,1
30048007,"Web Arena - Missing Add Test Case Button for Practice and SRM Problems",Completed,50,31,2014-12-13,2015-01-12,2014-12-19,1
30048008,"TopCoder Competition Engine - Figure out way to add Admin Role",Completed,80,31,2014-12-13,2015-01-12,2014-12-13,1
30048008,"TopCoder Competition Engine - Figure out way to add Admin Role",Completed,80,31,2014-12-13,2015-01-12,2014-12-14,3
30048009,"Web Arena - Scrolling Animation Delay Fix","Cancelled - Requirem",100,31,2014-12-13,2015-01-12,2014-12-14,4
30048009,"Web Arena - Scrolling Animation Delay Fix","Cancelled - Requirem",100,31,2014-12-13,2015-01-12,2014-12-15,2
30048009,"Web Arena - Scrolling Animation Delay Fix","Cancelled - Requirem",100,31,2014-12-13,2015-01-12,2014-12-18,1
30048009,"Web Arena - Scrolling Animation Delay Fix","Cancelled - Requirem",100,31,2014-12-13,2015-01-12,2014-12-22,1
30048009,"Web Arena - Scrolling Animation Delay Fix","Cancelled - Requirem",100,31,2014-12-13,2015-01-12,2014-12-26,1
30048009,"Web Arena - Scrolling Animation Delay Fix","Cancelled - Requirem",100,31,2014-12-13,2015-01-12,2014-12-28,3
30048009,"Web Arena - Scrolling Animation Delay Fix","Cancelled - Requirem",100,31,2014-12-13,2015-01-12,2014-12-29,1
30048033,"Web Arena - Bug Fix Inconsistent Scroll Bar","Cancelled - Client R",75,31,2014-12-15,2015-01-14,2014-12-16,1
