handle,y,submitted
Ghost_141,0.4,0
shubhendus,0.47,0
diptee,0,0
penpo,0,0
Rafael.Prado,0,0
sunbinbrother,0,0
dira.thea,0.2,0
"Neha jain",0.07,0
sangherajagjit,0,0
AncientNix,0,0
smk1992,0.2,1
sydderanged,0,0
savon_cn,0.27,1
superastrom,0.2,0
